Subject ID,Recording ID,ROI,Extraction Method,Signal,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s28,vid_s28_T2.avi,none,PCA_1,,33,30.2,37.14,0.14,0.436,-29.08,23.47,-75.07,16.92,80.59,77.27,109.66,102.87,-29.08,-22.68,22.68
s28,vid_s28_T2.avi,none,PCA_2,,33,22.43,30.26,-0.053,0.772,-17.71,24.91,-66.54,31.12,91.95,91.81,109.66,102.87,-17.71,-10.97,12.47
s28,vid_s28_T2.avi,none,PCA_3,,33,30.99,38.96,-0.066,0.717,-29.78,25.51,-79.77,20.21,79.89,80.48,109.66,102.87,-29.78,-28.68,28.68
s28,vid_s28_T2.avi,none,ZCA_1,,33,26.09,33.75,-0.033,0.853,-23.2,24.89,-71.98,25.58,86.46,87.69,109.66,102.87,-23.2,-15.35,16.96
s28,vid_s28_T2.avi,none,ZCA_2,,33,28.9,37.86,-0.133,0.462,-26.88,27.08,-79.95,26.19,82.79,82.28,109.66,102.87,-26.88,-25.64,25.64
s28,vid_s28_T2.avi,none,ZCA_3,,33,33.22,40.31,0.091,0.616,-32.5,24.2,-79.94,14.94,77.16,76.82,109.66,102.87,-32.5,-29.55,29.55
s28,vid_s28_T2.avi,none,ICA_1,,33,30.41,38.58,-0.117,0.519,-28.89,25.97,-79.79,22.02,80.78,82.11,109.66,102.87,-28.89,-27.98,27.98
s28,vid_s28_T2.avi,none,Best_ICA_2,,33,28.03,35.54,0.017,0.925,-26.01,24.6,-74.22,22.21,83.66,83.41,109.66,102.87,-26.01,-21.31,21.31
s28,vid_s28_T2.avi,none,ICA_3,,33,25.44,33.88,0.128,0.477,-24.57,23.7,-71.02,21.89,85.1,86.26,109.66,102.87,-24.57,-18.64,18.64
s28,vid_s28_T2.avi,none,CHROM,,33,24.94,32.53,-0.036,0.842,-21.94,24.39,-69.73,25.86,87.73,87.84,109.66,102.87,-21.94,-19.9,19.9
s28,vid_s28_T2.avi,none,POS,,33,22.92,30.75,0.012,0.947,-19.86,23.84,-66.59,26.87,89.81,90.32,109.66,102.87,-19.86,-11.87,13.52
s28,vid_s28_T2.avi,face_track,R,,33,26.71,34.23,0.095,0.598,-25.25,23.47,-71.25,20.74,84.41,82.4,109.66,102.87,-25.25,-21.33,21.33
s28,vid_s28_T2.avi,face_track,G,,33,26.72,34.66,-0.006,0.973,-25.3,24.06,-72.45,21.85,84.37,83.16,109.66,102.87,-25.3,-23.58,23.58
s28,vid_s28_T2.avi,face_track,B,,33,26.09,34.41,-0.146,0.417,-24.04,24.99,-73.03,24.95,85.62,84.41,109.66,102.87,-24.04,-21.08,22.31
