subject,recording,video,roi,mae,rmse,r,bias,sd,mean_gt,mean_rppg,mean_pair,diff,failure
71i5,71i5_Reading,71i5|71i5_Reading,poly,16.77,17.15,-0.469,-16.77,3.7,88.61,71.83,80.22,16.78,1
71i5,71i5_Relax,71i5|71i5_Relax,poly,5.93,8.33,-0.255,-4.44,7.13,78.54,74.1,76.32,4.440000000000012,0
71i5,71i5_Speaking,71i5|71i5_Speaking,poly,11.59,12.24,0.57,11.59,4.1,90.77,102.35,96.56,-11.579999999999998,1
71i5,71i5_Stroop,71i5|71i5_Stroop,poly,6.18,7.62,-0.509,-3.14,7.21,88.77,85.63,87.19999999999999,3.1400000000000006,0
71i5,71i5_Video1,71i5|71i5_Video1,poly,8.57,10.65,-0.753,-2.68,10.41,89.96,87.27,88.615,2.6899999999999977,0
71i5,71i5_Video2,71i5|71i5_Video2,poly,5.33,6.38,0.423,1.06,6.39,85.62,86.67,86.14500000000001,-1.0499999999999972,0
7h5u,7h5u_Baseline,7h5u|7h5u_Baseline,poly,5.54,9.94,-0.933,5.54,8.59,82.49,88.03,85.25999999999999,-5.540000000000006,0
7h5u,7h5u_Breathing,7h5u|7h5u_Breathing,poly,4.08,5.56,0.197,2.4,5.06,69.69,72.09,70.89,-2.4000000000000057,0
7h5u,7h5u_Counting1,7h5u|7h5u_Counting1,poly,1.78,2.13,0.232,-1.49,1.59,76.23,74.74,75.485,1.490000000000009,0
7h5u,7h5u_Counting2,7h5u|7h5u_Counting2,poly,5.01,5.91,0.007,5.0,3.28,74.5,79.51,77.005,-5.010000000000005,0
7h5u,7h5u_Counting3,7h5u|7h5u_Counting3,poly,3.49,4.07,-0.611,3.49,2.18,73.91,77.4,75.655,-3.490000000000009,0
7h5u,7h5u_Math,7h5u|7h5u_Math,poly,2.88,3.67,-0.561,-0.71,3.75,72.46,71.74,72.1,0.7199999999999989,0
7h5u,7h5u_Reading,7h5u|7h5u_Reading,poly,3.26,3.62,-0.147,0.59,3.71,72.91,73.5,73.205,-0.5900000000000034,0
7h5u,7h5u_Relax,7h5u|7h5u_Relax,poly,6.71,8.15,-0.696,2.48,7.85,64.76,67.24,66.0,-2.4799999999999898,0
7h5u,7h5u_Speaking,7h5u|7h5u_Speaking,poly,5.21,5.43,0.818,-5.21,1.58,72.2,66.99,69.595,5.210000000000008,0
7h5u,7h5u_Stroop,7h5u|7h5u_Stroop,poly,6.65,7.52,-0.805,-6.26,4.32,71.46,65.2,68.33,6.259999999999991,0
7h5u,7h5u_Video1,7h5u|7h5u_Video1,poly,4.35,5.32,-0.245,-0.18,5.37,72.32,72.14,72.22999999999999,0.1799999999999926,0
8g4y,8g4y_Baseline,8g4y|8g4y_Baseline,poly,2.86,3.28,-0.078,2.79,1.8,70.77,73.56,72.16499999999999,-2.7900000000000063,0
8g4y,8g4y_Breathing,8g4y|8g4y_Breathing,poly,9.97,10.46,0.096,9.97,3.18,67.36,77.34,72.35,-9.980000000000004,0
8g4y,8g4y_Counting1,8g4y|8g4y_Counting1,poly,2.6,2.79,0.253,-2.6,1.05,69.98,67.38,68.68,2.6000000000000085,0
8g4y,8g4y_Counting2,8g4y|8g4y_Counting2,poly,2.42,2.74,0.798,2.42,1.35,68.85,71.26,70.055,-2.410000000000011,0
8g4y,8g4y_Counting3,8g4y|8g4y_Counting3,poly,6.81,8.09,-0.766,-4.94,6.67,73.45,68.51,70.98,4.939999999999998,0
8g4y,8g4y_Math,8g4y|8g4y_Math,poly,4.33,4.53,0.083,-4.33,1.38,69.77,65.45,67.61,4.319999999999993,0
